pseudoword,ambiguity_reduction,ambiguity_drop,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
palla-balle,0.8461538461538461,0.845875643336478,IT,FR,19,20,3,"['bn:00008120n', 'bn:00013807n', 'bn:00845677n']"
bare-nudo,0.9622641509433962,0.6889690025001952,EN,IT,45,8,1,['bn:00097745a']
beam-haz,0.9411764705882352,0.8995475050115943,EN,ES,22,12,1,['bn:00009316n']
bed-cama,0.8823529411764706,0.713549848695546,EN,ES,27,7,2,"['bn:00009475n', 'bn:00009472n']"
better-meilleur,0.9420289855072465,0.44028292681319525,EN,FR,65,4,2,"['bn:00098283a', 'bn:00010157n']"
bill-bill,0.9583333333333334,0.27375009689101387,EN,ES,47,1,1,['bn:02586853n']
morso-morsure,0.875,0.8472151069828725,IT,FR,10,6,1,['bn:00010744n']
board-conseil,0.8857142857142857,0.8559307269941563,EN,FR,22,13,2,"['bn:00011638n', 'bn:00021015n']"
box-boîte,0.9393939393939394,0.7472112896246232,EN,FR,53,13,2,"['bn:00012526n', 'bn:00012524n']"
brace-abrazadera,0.875,0.723447624119224,EN,ES,25,7,2,"['bn:00012595n', 'bn:00010764n']"
broken-roto,0.9384615384615383,0.5001424817121966,EN,ES,60,5,2,"['bn:00098909a', 'bn:00098921a']"
c-c,0.7971014492753623,0.6233905196200482,EN,IT,56,13,7,"['bn:00014377n', 'bn:00003612n', 'bn:00006890n', 'bn:00014379n', 'bn:00014374n', 'bn:02449894n', 'bn:00014373n']"
card-scheda,0.8518518518518519,0.6617998218906306,EN,IT,22,5,2,"['bn:00015916n', 'bn:00001275n']"
condition-condition,0.6470588235294118,0.6054176848666282,EN,FR,23,11,6,"['bn:00021649n', 'bn:00021645n', 'bn:00021646n', 'bn:00021647n', 'bn:00048504n', 'bn:00021644n']"
counter-compteur,0.9230769230769232,0.589819445887674,EN,FR,23,3,1,['bn:00023158n']
corso-cours,0.7560975609756098,0.7283770938751652,IT,FR,15,26,5,"['bn:00019477n', 'bn:00023288n', 'bn:00023290n', 'bn:00019479n', 'bn:00023286n']"
credit-credito,0.7692307692307693,0.7100591715976331,EN,IT,18,8,3,"['bn:00023668n', 'bn:00023667n', 'bn:00023671n']"
découpage-corte,0.9411764705882352,0.4429065743944637,FR,ES,2,32,1,['bn:00024614n']
dig-dig,0.8048780487804879,0.47764702795917013,EN,ES,37,4,4,"['bn:03647300n', 'bn:03733128n', 'bn:01523042n', 'bn:03675778n']"
sporco-sale,0.9130434782608696,0.8912076195340579,IT,FR,9,14,1,['bn:00101429a']
espresso-exprés,0.8181818181818182,0.4704214701076928,IT,ES,10,1,1,['bn:00032388n']
fresh-frais,0.8695652173913043,0.7173408680911258,EN,FR,36,10,3,"['bn:00103326a', 'bn:00103331a', 'bn:00103329a']"
front-avant,0.9444444444444444,0.8460393933399712,EN,FR,26,10,1,['bn:00035855n']
full-complet,0.8260869565217391,0.8190296059313278,EN,FR,13,10,2,"['bn:00102277a', 'bn:00103392a']"
gain-gain,0.6774193548387096,0.5928363356738008,EN,FR,23,8,5,"['bn:00037023n', 'bn:00037022n', 'bn:00003664n', 'bn:16782332n', 'bn:00001294n']"
grade-grade,0.8235294117647058,0.6278918323716959,EN,FR,28,6,3,"['bn:18075962n', 'bn:03805878n', 'bn:00041232n']"
grey-grigio,0.6571428571428571,0.5257142857142857,EN,IT,28,7,6,"['bn:00041514n', 'bn:00041510n', 'bn:00103764a', 'bn:00455573n', 'bn:00103765a', 'bn:00103766a']"
hall-hall,0.8536585365853658,0.5065953326839683,EN,ES,37,4,3,"['bn:00004493n', 'bn:01243166n', 'bn:00042663n']"
joint-conjoint,0.9166666666666666,0.5067065651931861,EN,FR,22,2,1,['bn:00105540a']
link-enlace,0.8918918918918919,0.8350281468191811,IT,ES,12,25,2,"['bn:00045513n', 'bn:00294469n']"
major-majeur,0.9642857142857144,0.5964970893413226,EN,FR,50,6,1,['bn:00106333a']
man-hombre,0.7910447761194029,0.6594829336776599,EN,ES,52,15,7,"['bn:03478581n', 'bn:00053100n', 'bn:00045153n', 'bn:00044576n', 'bn:00053096n', 'bn:00001533n', 'bn:00053097n']"
mate-mate,0.7948717948717948,0.792516614006484,EN,ES,21,18,4,"['bn:00045923n', 'bn:00018014n', 'bn:14936753n', 'bn:00053796n']"
misura-medir,0.8947368421052632,0.7879900526913731,IT,ES,14,5,1,['bn:00054019n']
medium-moyen,0.9069767441860463,0.7914600957625257,EN,FR,32,11,2,"['bn:00054149n', 'bn:00097857a']"
meet-incontrarsi,0.8333333333333334,0.551198189805123,EN,IT,21,3,2,"['bn:00082846v', 'bn:00087599v']"
mind-esprit,0.8604651162790697,0.8414066560738341,EN,FR,26,17,3,"['bn:00012681n', 'bn:00047020n', 'bn:00055105n']"
mount-monte,0.9655172413793104,0.9446261756364115,EN,ES,23,35,1,['bn:00056068n']
natural-natural,0.5714285714285714,0.5532833351724881,EN,ES,35,21,12,"['bn:00057017n', 'bn:00107154a', 'bn:00107153a', 'bn:00105934a', 'bn:00107156a', 'bn:22323923n', 'bn:00107151a', 'bn:00107157a', 'bn:03208102n', 'bn:00107155a', 'bn:00107152a', 'bn:00015177n']"
nota-nota,0.5238095238095238,0.5232152984068783,IT,ES,11,10,5,"['bn:00035726n', 'bn:00010422n', 'bn:00056463n', 'bn:00004350n', 'bn:00058145n']"
patch-correctif,0.9333333333333332,0.56,EN,FR,27,3,1,['bn:00060970n']
pole-palo,0.9487179487179488,0.8757396449704142,EN,IT,27,12,1,['bn:00063293n']
positivo-positif,0.7272727272727273,0.6997028260666687,ES,FR,8,14,3,"['bn:00063716n', 'bn:00096605a', 'bn:00108822a']"
process-processus,0.7407407407407407,0.5966683997512084,EN,FR,43,11,7,"['bn:03211034n', 'bn:00062167n', 'bn:16488917n', 'bn:03245758n', 'bn:00064536n', 'bn:01768982n', 'bn:00020457n']"
quiet-tranquillo,0.8823529411764706,0.7485573582278179,EN,IT,26,8,2,"['bn:00109359a', 'bn:00109358a']"
rank-rang,0.84,0.8154492258871793,EN,FR,31,19,4,"['bn:02011855n', 'bn:03201478n', 'bn:00054281n', 'bn:00066154n']"
reach-llegar a,0.9545454545454546,0.548825048458975,EN,ES,40,4,1,['bn:00082901v']
real-reale,0.7818181818181819,0.6254545454545455,ES,IT,44,11,6,"['bn:00102543a', 'bn:00109969a', 'bn:03730233n', 'bn:00109497a', 'bn:00096397a', 'bn:00109494a']"
ricevere-recevoir,0.7,0.696491205974634,IT,FR,9,11,3,"['bn:00091603v', 'bn:00089246v', 'bn:00088208v']"
report-rapporto,0.8823529411764706,0.8762254160623253,EN,IT,19,15,2,"['bn:00000739n', 'bn:00067181n']"
rich-ricco,0.9487179487179488,0.7661756511201498,EN,IT,31,8,1,['bn:00109833a']
sacco-sac,0.8571428571428571,0.800614091670736,IT,FR,19,9,2,"['bn:00007922n', 'bn:00016261n']"
seed-seme,0.8222222222222222,0.5960017164652872,EN,IT,38,7,4,"['bn:00020895n', 'bn:00874731n', 'bn:00070253n', 'bn:00040284n']"
sink-lavello,0.92,0.6745551422974996,EN,IT,21,4,1,['bn:00071766n']
piccolo-petit,0.8064516129032258,0.7539738161388885,IT,FR,10,21,3,"['bn:00058715n', 'bn:00106058a', 'bn:00106773a']"
spare-repuesto,0.8,0.7332121111929344,EN,ES,14,6,2,"['bn:00073120n', 'bn:00073121n']"
spin-rotation,0.96875,0.6735414641600553,EN,FR,55,9,1,['bn:00068323n']
