pseudoword,ambiguity_reduction,ambiguity_drop,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
activist-attivista,0.4285714285714285,0.4241757079760516,EN,IT,4,3,2,"['bn:00001170n', 'bn:00001171n']"
méridional-sur,0.9310344827586208,0.4718398791092448,FR,ES,2,27,1,['bn:00029053n']
rilevare-detectar,0.8333333333333334,0.8216777476527244,IT,ES,7,5,1,['bn:00086708v']
remarkable-notable,0.8181818181818182,0.7871656793250021,EN,ES,4,7,1,['bn:00107630a']
shortly-a breve,0.7142857142857143,0.499895865874118,EN,IT,6,1,1,['bn:00114513r']
seem-sembrare,0.3333333333333333,0.3286710990610897,EN,IT,5,7,4,"['bn:00082693v', 'bn:00093458v', 'bn:00093457v', 'bn:00082690v']"
learn-imparare,0.5714285714285714,0.5476084842856628,EN,IT,9,5,3,"['bn:00082281v', 'bn:00085506v', 'bn:00086933v']"
soutien-soporte,0.9090909090909092,0.8097486753002241,FR,ES,6,16,1,['bn:00075332n']
include-includere,0.5,0.4960783708246107,EN,IT,7,9,4,"['bn:00089662v', 'bn:00089661v', 'bn:00089660v', 'bn:00082370v']"
bomb-bomba,0.945945945945946,0.9175347634367024,EN,ES,23,14,1,['bn:00011917n']
appropriate-apropiado,0.8095238095238095,0.6895810542856494,EN,ES,5,16,2,"['bn:00097398a', 'bn:00111427a']"
portavoce-portavoz,0.6666666666666666,0.628539361054709,IT,ES,4,8,2,"['bn:00047203n', 'bn:00073526n']"
resolve-risolvere,0.8666666666666667,0.8589284165117359,EN,IT,17,13,2,"['bn:00092897v', 'bn:00082354v']"
produrre-producir,0.5,0.4803226796052939,IT,ES,13,23,9,"['bn:00084699v', 'bn:00084198v', 'bn:00084094v', 'bn:00084082v', 'bn:00084069v', 'bn:00088042v', 'bn:00086013v', 'bn:00088725v', 'bn:00088724v']"
generate-générer,0.6666666666666666,0.628539361054709,EN,FR,8,4,2,"['bn:00088725v', 'bn:00084080v']"
conclusion-conclusione,0.4545454545454545,0.4545454545454545,FR,IT,11,11,6,"['bn:00021586n', 'bn:27268436n', 'bn:00021588n', 'bn:00021584n', 'bn:00019920n', 'bn:00019919n']"
factory-fábrica,0.8,0.7332121111929344,EN,ES,14,6,2,"['bn:03864854n', 'bn:00032675n']"
destroy-distruggere,0.75,0.75,EN,IT,8,8,2,"['bn:00086699v', 'bn:00086698v']"
property-propiedad,0.75,0.7485337229377177,EN,ES,15,17,4,"['bn:00062700n', 'bn:00064752n', 'bn:00009815n', 'bn:00007067n']"
tutti i giorni-tous les jours,0.5,0.5,IT,FR,2,2,1,['bn:00114917r']
square-piazza,0.9666666666666668,0.6572069595297366,EN,IT,52,8,1,['bn:00065099n']
richiedere-exiger,0.8571428571428571,0.7034158342699627,IT,FR,11,3,1,['bn:00086546v']
lunch-almuerzo,0.8181818181818182,0.8147938871977678,EN,ES,6,5,1,['bn:00026000n']
copy-copia,0.6363636363636364,0.5927988046422908,EN,ES,15,7,4,"['bn:00022526n', 'bn:00022527n', 'bn:00022534n', 'bn:00022525n']"
holy-saint,0.9310344827586208,0.9170918790518762,EN,FR,17,12,1,['bn:00104250a']
merely-simplemente,0.8181818181818182,0.4704214701076928,EN,ES,1,10,1,['bn:00114626r']
cow-vache,0.6551724137931034,0.6228226546723287,EN,FR,19,10,5,"['bn:00023382n', 'bn:03328090n', 'bn:00023381n', 'bn:00012273n', 'bn:00023383n']"
term-plazo,0.9130434782608696,0.8402386016235373,EN,ES,16,7,1,['bn:00076588n']
quarter-trimestre,0.8235294117647058,0.6278918323716959,EN,ES,28,6,3,"['bn:00065586n', 'bn:00065580n', 'bn:00065584n']"
letterario-literario,0.6666666666666666,0.4969039949999533,IT,ES,1,5,1,['bn:00106044a']
cast-getto,0.9615384615384616,0.7853831576033766,EN,IT,41,11,1,['bn:00016531n']
shopping-shopping,0.7777777777777778,0.4888639474869958,EN,IT,16,2,2,"['bn:03268668n', 'bn:00071229n']"
ready-listo,0.9473684210526316,0.834342408732042,EN,ES,28,10,1,['bn:00109485a']
iron-ferro,0.88,0.7290734942377209,EN,IT,39,11,3,"['bn:00006856n', 'bn:00047494n', 'bn:15801658n']"
Palestiniens-Palestina,0.8947368421052632,0.3995838874295171,FR,ES,1,18,1,['bn:00060277n']
dismiss-licencier,0.75,0.649519052838329,EN,FR,6,2,1,['bn:00084451v']
shoot-dispara,0.9411764705882352,0.4429065743944637,EN,ES,32,2,1,['bn:00736411n']
transportation-trasporto,0.7777777777777778,0.7729617699999273,EN,IT,12,15,3,"['bn:00022381n', 'bn:00078004n', 'bn:00022379n']"
parking-parcheggio,0.6,0.5499090833947008,EN,IT,7,3,2,"['bn:00015795n', 'bn:00060699n']"
president-presidente,0.7307692307692307,0.6482801458542755,EN,ES,38,14,7,"['bn:00064233n', 'bn:00018323n', 'bn:01126729n', 'bn:00017517n', 'bn:00064234n', 'bn:21706335n', 'bn:00073171n']"
difficile-difícil,0.7777777777777778,0.7332959212304937,FR,ES,6,3,1,['bn:00101358a']
service-service,0.6666666666666666,0.6285393610547089,EN,FR,36,18,9,"['bn:00070654n', 'bn:00018996n', 'bn:00005737n', 'bn:00046921n', 'bn:00044916n', 'bn:00070647n', 'bn:00070653n', 'bn:00070651n', 'bn:00070659n']"
politician-político,0.7142857142857143,0.6453627877894652,EN,ES,4,10,2,"['bn:00063354n', 'bn:00063277n']"
opponent-avversario,0.875,0.875,EN,IT,8,8,1,['bn:00001582n']
amount-importe,0.8333333333333334,0.7856742013183862,EN,ES,8,4,1,['bn:00003601n']
success-successo,0.8048780487804879,0.7132358954328415,EN,IT,30,11,4,"['bn:00078365n', 'bn:00075023n', 'bn:00075024n', 'bn:00075025n']"
community-comunità,0.7333333333333333,0.5866666666666667,EN,IT,24,6,4,"['bn:00021249n', 'bn:00552596n', 'bn:00021248n', 'bn:00010584n']"
aware-consapevole,0.875,0.7577722283113838,EN,IT,12,4,1,['bn:00097879a']
owner-propriétaire,0.4,0.3919183588453084,EN,FR,4,6,3,"['bn:00059953n', 'bn:00059954n', 'bn:00049877n']"
compete-competere,0.6,0.48,EN,IT,4,1,1,['bn:00085468v']
agent-agente,0.4838709677419355,0.4775356464342879,FR,ES,13,18,8,"['bn:00001975n', 'bn:00001973n', 'bn:03175745n', 'bn:00001972n', 'bn:00001977n', 'bn:03085128n', 'bn:01650350n', 'bn:00001974n']"
trattamento-traitement,0.5714285714285714,0.5655676106347354,IT,FR,8,6,3,"['bn:00042823n', 'bn:00047235n', 'bn:00076843n']"
habitat-habitat,0.8823529411764706,0.7485573582278179,EN,IT,13,4,1,['bn:00042409n']
essentially-essentiellement,0.5,0.5,EN,FR,2,2,1,['bn:00114508r']
mom-maman,0.9148936170212766,0.8670488641075271,EN,FR,31,16,2,"['bn:00034027n', 'bn:00052511n']"
except-tranne,-1.0,-1.0,EN,IT,3,0,0,[]
door-porta,0.7894736842105263,0.7883794720641388,EN,IT,18,20,4,"['bn:00028247n', 'bn:00028249n', 'bn:00034158n', 'bn:00028248n']"
international-internationale,0.9090909090909092,0.522690522341881,EN,FR,20,2,1,['bn:00047146n']
giornaliero-diario,0.8888888888888888,0.6625386599999378,IT,ES,3,15,1,['bn:00100875a']
south-sur,0.8028169014084507,0.7794645606490799,EN,ES,44,27,7,"['bn:00110950a', 'bn:23829270n', 'bn:00029053n', 'bn:00072960n', 'bn:03271086n', 'bn:00021710n', 'bn:00073013n']"
